Section,Variable Name,Indicator,Full Source,Years Available,Normalization Source
Education,hsaalgXX,Percentage of Students Passing H.S.A. Algebra,Baltimore City Public Schools,"2009-2010, 2010-2011",
Education,dropXX,High School Dropout/Withdrawl Rate,Baltimore City Public Schools,"2009-2010, 2010-2011",
Education,complXX,High School Completion Rate,Baltimore City Public Schools,"2009-2010, 2010-2011",
Education,sclswXX,Percent of Students Switching Schools within School Year,Baltimore City Public Schools,2010-2011,
Education,sclempXX,Percentage of Population aged 16-19 in School and/or Employed,American Community Survey,2007-2011,
Health and Human Welfare,teenbirXX,"Teen Birth Rate per 1,000 Females (aged 15-19)",Maryland Department of Vital Statistics,"2010, 2011",U.S. Bureau of the Census
Health and Human Welfare,termbirXX,Percent of Births Delivered at Term (37-42 Weeks),Maryland Department of Vital Statistics,"2010, 2011",U.S. Bureau of the Census
Health and Human Welfare,birthwtXX,Percent of Babies Born with a Satisfactory Birth Weight,Maryland Department of Vital Statistics,"2010, 2011",U.S. Bureau of the Census
Health and Human Welfare,prenatalXX,Percent of Births Where the Mother Received Early Prenatal Care (First Trimester),Maryland Department of Vital Statistics,"2010, 2011",U.S. Bureau of the Census
Health and Human Welfare,leadtestXX,Number of Children (aged 0-6) Tested for Elevated Blood Lead Levels,"Maryland Department of the Environment, Lead Poisoning Prevention Program","2010, 2011",
Health and Human Welfare,ebllXX,Percent of Children (aged 0-6) with Elevated Blood Lead Levels,"Maryland Department of the Environment, Lead Poisoning Prevention Program","2010, 2011",
Health and Human Welfare,leadvXX,"Percent of Lead Violations per 1,000 Residential Units",Baltimore City Health Department,2011,Maryland Property View
Health and Human Welfare,tanfXX,Percent of Families Receiving TANF,Maryland Department of Human Resources,2011,U.S. Bureau of the Census
Health and Human Welfare,liquorXX,"Liquor Outlet density (per 1,000 Residents)",Baltimore City Liquoor Board,"2010, 2011",U.S. Bureau of the Census
Health and Human Welfare,fastfdXX,"Fast Food Outlet Density (per 1,000 Residents)","Johns Hopkins University, Center for a Livable Future",2011,
Health and Human Welfare,LifeExpXX,Life Expectancy,Baltimore City Health Department,2011,
Health and Human Welfare,mort1_XX,Mortality by Age (Less than 1 year old),Baltimore City Health Department,2011,
Health and Human Welfare,mort14_XX,Mortality by Age (1-14 years old),Baltimore City Health Department,2011,
Health and Human Welfare,mort24_XX,Mortality by Age (15-24 years old),Baltimore City Health Department,2011,
Health and Human Welfare,mort44_XX,Mortality by Age (25-44 years old),Baltimore City Health Department,2011,
Health and Human Welfare,mort64_XX,Mortality by Age (45-64 years old),Baltimore City Health Department,2011,
Health and Human Welfare,mort84_XX,Mortality by Age (65-84 years old),Baltimore City Health Department,2011,
Health and Human Welfare,mort85_XX,Mortality by Age (85 and over),Baltimore City Health Department,2011,
Arts and Culture,libcardXX,"Number of Persons with Library Cards per 1,000 Residents",Enoch Pratt Free Library,2011,U.S. Bureau of the Census
Arts and Culture,artbusXX,"Number of Businesses that are Arts-Related per 1,000 residents",InfoUSA,"2010, 2011",U.S. Bureau of the Census
Arts and Culture,artempXX,Total Employment in Arts-Related Businesses,InfoUSA,"2010, 2011",
Economic and Workforce Development,emplXX,Percent  Population 16-64 Employed,American Community Survey,2007-2011,
Economic and Workforce Development,unemplXX,Percent  Population 16-64 Unemployed and Looking for Work,American Community Survey,2007-2011,
Economic and Workforce Development,nilfXX,Percent  Population 16-64 Not in Labor Force,American Community Survey,2007-2011,
Economic and Workforce Development,unemprXX,Unemployment Rate,American Community Survey,2007-2011,
Economic and Workforce Development,lesshsXX,Percent  Population (25 years and over) With Less Than a High School Diploma or GED,American Community Survey,2007-2011,
Economic and Workforce Development,somecolXX,Percent  Population (25 years and over) With High School Diploma and Some College or Associates Degree,American Community Survey,2007-2011,
Economic and Workforce Development,bahigherXX,Percent  Population (25 years and over) with a Bachelor's Degree or Above,American Community Survey,2007-2011,
Economic and Workforce Development,compropXX,Total Number of Commercial Properties,Maryland Property View,"2010, 2011",
Economic and Workforce Development,crehabXX,"Percent of Commercial Properties with Rehab Permits Above $5,000",Baltimore City Department of Housing,"2010, 2011",Maryland Property View
Economic and Workforce Development,numbusXX,Total Number of Businesses,InfoUSA,"2010, 2011",
Economic and Workforce Development,totempXX,Total Number of Employees,InfoUSA,"2010, 2011",
Economic and Workforce Development,smlbusXX,Number of Businesses with Under 50 Employees,InfoUSA,"2010, 2011",
Economic and Workforce Development,banksXX,"Number of Banks and Bank Branches per 1,000 Residents",Federal Deposit Insurance Corporation,2011,U.S. Bureau of the Census
Economic and Workforce Development,biz1_XX,Percent of Businesses that are 1 year old or less,InfoUSA,"2010, 2011",
Economic and Workforce Development,biz2_XX,Percent of Businesses that are 2 years old or less,InfoUSA,"2010, 2011",
Economic and Workforce Development,biz4_XX,Percent of Businesses that are 4 years old or less,InfoUSA,"2010, 2011",
Economic and Workforce Development,neiindXX,Number of Businesses by Selected Neighborhood Industry (NAICS Sectors),InfoUSA,"2010, 2011",
Economic and Workforce Development,neibusXX,"Neighborhood Businesses per 1,000 residents (NAICS Sectors)",InfoUSA,"2010, 2011",
Economic and Workforce Development,neiempXX,Total number of Employees by Selected Nieghborhood Industry (NAICS Sectors),InfoUSA,"2010, 2011",
Sustainability,regvoteXX,Percent of Population (Over the age of 18) Who are Registered to Vote,Baltimore City Board of Elections,2010,
Sustainability,votedXX,Percent Population (Over the age of 18) Who Voted in the General Election,Baltimore City Board of Elections,2010,
Sustainability,dirtystXX,"Rate of Dirty Streets and Alleys Reports per 1,000 Residents",Baltimore City CitiStat,"2010, 2011",U.S. Bureau of the Census
Sustainability,cloggedXX,"Rate of Clogged Storm Drain Reports per 1,000 Residents",Baltimore City CitiStat,"2010, 2011",U.S. Bureau of the Census
Sustainability,drvaloneXX,Percent of Population that Drove Alone to Work,American Community Survey,2007-2011,
Sustainability,carpoolXX,Percent of Population that Carpool to Work,American Community Survey,2007-2011,
Sustainability,pubtranXX,Percent of Population that Uses Public Transportation to Get to Work,American Community Survey,2007-2011,
Sustainability,walkedXX,Percent of Population that Walks to Work,American Community Survey,2007-2011,
Sustainability,trav14_XX,Percent of Employed Population with Travel Time to Work of 0-14 Minutes,American Community Survey,2007-2011,
Sustainability,trav29_XX,Percent of Employed Population with Travel Time to Work of 15-29 Minutes,American Community Survey,2007-2011,
Sustainability,trav44_XX,Percent of Employed Population with Travel Time to Work of 30-44 Minutes,American Community Survey,2007-2011,
Sustainability,trav45_XX,Percent of Employed Population with Travel Time to Work of 45 Minutes and Over,American Community Survey,2007-2011,
Sustainability,treesXX,Percent of Area Covered by Trees,University of Vermont Spatial Analysis Lab,2007,
Sustainability,cmosXX,Number of Community Managed Open Spaces,Baltimore Neighborhood Indicators Alliance - Jacob France Institute,2011,
Sustainability,watercXX,Median Daily Water Consumption,Baltimore City Department of Public Works,2011,
Sustainability,heatgasXX,Percent of Residences Heated by Utility Gas,American Community Survey,2007-2011,
Sustainability,elheatXX,Percent of Residences Heated by Electricity,American Community Survey,2007-2011,
Sustainability,novhclXX,Percent of Households with No Vehicles Available,American Community Survey,2007-2011,
Sustainability,weatherXX,Percent of Homes Weatherized,Maryland Department of Housing and Community Development,"2010, 2011",Maryland Property View
Sustainability,wlkscXX,Walk Score,Walk Score,2011,
Sustainability,othrcomXX,"Percent of Population Using Other Means to Commute to Work (Taxi, Motorcycle, Bicycle, Other)",American Community Survey,2007-2011,
